,product,category,brand,mrp,sp,discount,sku,description,url
202,foodgrains-oil-masala,Organic Dals & Pulses,bb Royal,65.00,61.00,6,40100575,Organic - Soyabean Whole,/pd/40100575/bb-royal-organic-soyabean-whole-500-g/
203,foodgrains-oil-masala,Cereals & Millets,Safe Harvest,77.00,77.00,,40144584,Barnyard Millet Rice - Pesticide Free,/pd/40144584/safe-harvest-barnyard-millet-rice-pesticide-free-500-g/
204,foodgrains-oil-masala,"Toor, Channa & Moong Dal",Safe Harvest,85.00,85.00,,40004559,Mung Whole - Pesticide Free,/pd/40004559/safe-harvest-mung-whole-pesticide-free-500-g/
205,foodgrains-oil-masala,"Toor, Channa & Moong Dal",Safe Harvest,85.00,85.00,,40004548,Mung Split - Pesticide Free,/pd/40004548/safe-harvest-mung-split-pesticide-free-500-g/
206,foodgrains-oil-masala,Urad & Other Dals,Safe Harvest,95.00,87.00,8,40160748,Urad Gota,/pd/40160748/safe-harvest-urad-gota-500-g/
207,foodgrains-oil-masala,Cereals & Millets,Safe Harvest,77.00,77.00,,40144591,Little Millet Rice - Pesticide Free,/pd/40144591/safe-harvest-little-millet-rice-pesticide-free-500-g/
208,foodgrains-oil-masala,Cereals & Millets,Safe Harvest,77.00,77.00,,40144590,Kodo Millet Rice - Pesticide Free,/pd/40144590/safe-harvest-kodo-millet-rice-pesticide-free-500-g/
209,foodgrains-oil-masala,Cereals & Millets,Safe Harvest,49.00,49.00,,40144589,Jowar Whole - Pesticide Free,/pd/40144589/safe-harvest-jowar-whole-pesticide-free-500-g/
210,foodgrains-oil-masala,Cereals & Millets,PRISTINE,78.00,75.66,3,40152378,Fields of Gold - Organic Little Millet,/pd/40152378/pristine-fields-of-gold-organic-little-millet-500-g/
211,foodgrains-oil-masala,Cereals & Millets,PRISTINE,74.00,74.00,,40152381,Fields of Gold - Organic Kodo Millet,/pd/40152381/pristine-fields-of-gold-organic-kodo-millet-500-g/
212,foodgrains-oil-masala,Cereals & Millets,PRISTINE,70.00,67.90,3,40152380,Fields of Gold - Organic Proso Millet,/pd/40152380/pristine-fields-of-gold-organic-proso-millet-500-g/
